User_id,Gender,Age,Preferred_PL,Known_PL,way_of_learning,contest,Goal,Resource,Role,Internship,Workshop_rating,algorithm,Data_structure,no_of_contest_win,hours_spent,projects_based_on,c,python,java,c_plus,C_sh,F_sh,java_script,html,ruby,web,research,data_science,back_end,big_data,app,paper_presentation,operating_system
59,Male,20,PYTHON,"C, PYTHON, JAVA, C++, JAVASCRIPT, HTML",ONLINE,Online coding contest,Practicing Coding Skills,Codechef,Software developer,yes,3,8,9,0,7,web designing,yes,yes,yes,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no
60,Female,20,JAVA,"C, PYTHON, JAVA, JAVASCRIPT, HTML",ONLINE,Online coding contest,Full time job,Codechef,Software developer,yes,3,9,9,1,3,"web designing,app development",yes,yes,yes,no,no,no,no,yes,no,yes,no,no,no,no,yes,no,no
61,Female,20,PYTHON,"C, PYTHON, JAVA, C++, JAVASCRIPT, HTML",LIVE TEACHING,Online coding contest,Practicing Coding Skills,Hackerrank,Backend web developer,yes,2,9,9,0,4,web designing,yes,yes,yes,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no
62,Male,20,C++,"C, PYTHON, JAVA, C++, JAVASCRIPT, HTML",ONLINE,Online coding contest,Practicing Coding Skills,Coursera,Data scientist,yes,3,9,10,0,5,web designing,yes,yes,yes,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no
63,Male,20,C++,"C, PYTHON, JAVA, C++, JAVASCRIPT, HTML",ONLINE,Online coding contest,Full time job,Codecademy,Software developer,yes,4,8,9,0,4,"big data,data analytics",yes,yes,yes,yes,no,no,no,yes,no,no,no,yes,no,yes,no,no,no
64,Female,20,PYTHON,"C, PYTHON, JAVA, JAVASCRIPT",LIVE TEACHING,Online coding contest,Full time job,Google code jam,Web Developer,yes,0,8,8,0,2,"web designing,app development",yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no
65,Male,20,C,"C, PYTHON, JAVA, C++, JAVASCRIPT, HTML",ONLINE,Online coding contest,Full time job,Hackerearth,Web Developer,yes,5,9,8,0,3,big data,yes,yes,yes,yes,no,no,no,yes,no,no,no,no,no,yes,no,no,no
66,Male,20,C,"C, JAVA, JAVASCRIPT, HTML",ONLINE,Online coding contest,Full time job,Hackerrank,Data scientist,yes,0,7,8,0,1,"web designing,big data,data analytics",yes,no,yes,no,no,no,no,yes,no,yes,no,yes,no,yes,no,no,no
67,Female,22,PYTHON,"C, JAVA, JAVASCRIPT, HTML, RUBY",ONLINE,Online coding contest,Full time job,Coursera,Data scientist,no,5,10,10,0,3,"web designing,app development",yes,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,no,yes,no,no
68,Male,21,JAVA,"C, PYTHON, JAVA, C++, JAVASCRIPT, HTML",ONLINE,Live coding contest,Full time job,Others,Data scientist,yes,0,7,7,0,1,"web designing,big data,data analytics",yes,yes,yes,yes,no,no,no,yes,no,yes,no,yes,no,yes,no,no,no
69,Male,20,C,"C, PYTHON, JAVA, C++, JAVASCRIPT, HTML, RUBY",ONLINE,Live coding contest,Practicing Coding Skills,Coursera,Data scientist,yes,5,10,10,2,5,web designing,yes,yes,yes,yes,no,no,no,yes,yes,yes,no,no,no,no,no,no,no
70,Male,20,PYTHON,"C, PYTHON, JAVA, JAVASCRIPT, HTML",ONLINE,Live coding contest,Practicing Coding Skills,Others,Backend web developer,yes,0,10,10,1,2,"web designing,app development,data analytics",yes,yes,yes,no,no,no,no,yes,no,yes,no,yes,no,no,yes,no,no
71,Female,19,C,"C, PYTHON, JAVA, C++, JAVASCRIPT, HTML",LIVE TEACHING,Live coding contest,Full time job,Others,Web Developer,no,0,7,7,0,6,"web designing,data analytics",yes,yes,yes,yes,no,no,no,yes,no,yes,no,yes,no,no,no,no,no
72,Female,20,PYTHON,"C, PYTHON, JAVA, C++, JAVASCRIPT, HTML",LIVE TEACHING,Live coding contest,Practicing Coding Skills,Others,Backend web developer,yes,2,9,9,0,2,"web designing,research project,data analytics",yes,yes,yes,yes,no,no,no,yes,no,yes,yes,yes,no,no,no,no,no
73,Male,21,JAVA,"C, JAVA, JAVASCRIPT, HTML",ONLINE,Online coding contest,Practicing Coding Skills,Hackerrank,Data scientist,yes,3,9,8,0,4,"web designing,data analytics",yes,no,yes,no,no,no,no,yes,no,yes,no,yes,no,no,no,no,no
74,Male,20,JAVA,"C, PYTHON, JAVA, C++, JAVASCRIPT, HTML",LIVE TEACHING,Online coding contest,Practicing Coding Skills,Others,Software developer,yes,5,5,7,0,6,"web designing,data analytics",yes,yes,yes,yes,no,no,no,yes,no,yes,no,yes,no,no,no,no,no
75,Male,19,C,"C, JAVA",ONLINE,Online coding contest,Practicing Coding Skills,Hackerrank,Data scientist,yes,0,10,9,1,4,"web designing,big data,data analytics",yes,no,yes,no,no,no,no,no,no,yes,no,yes,no,yes,no,no,no
76,Male,22,JAVA,"C, PYTHON, JAVA, C++, C#, JAVASCRIPT, HTML",ONLINE,Live coding contest,Practicing Coding Skills,Khan Academy,Software developer,yes,5,6,6,0,3,data analytics,yes,yes,yes,yes,yes,no,no,yes,no,no,no,yes,no,no,no,no,no
